Date,OAT,Building 7 kW
1/1/2010 0:00,29.4203,34.2
1/1/2010 1:00,29.910495,45.5
1/1/2010 2:00,30.2168925,42.7
1/1/2010 3:00,30.217575,43.3
1/1/2010 4:00,29.607685,45.2
1/1/2010 5:00,28.7442575,47.2
1/1/2010 6:00,28.5522925,44
1/1/2010 7:00,25.23459,47.3
1/1/2010 8:00,25.38034,45.4
1/1/2010 9:00,27.083985,44.7
1/1/2010 10:00,32.9352375,40.8
1/1/2010 11:00,35.5718125,36.9
1/1/2010 12:00,33.8429475,38.1
1/1/2010 13:00,32.8077525,40.7
1/1/2010 14:00,33.7162675,40.4
1/1/2010 15:00,34.9150675,40.7
1/1/2010 16:00,36.96537,42.1
1/1/2010 17:00,37.6211225,38.5
1/1/2010 18:00,41.1386475,38.6
1/1/2010 19:00,42.541465,37.1
1/1/2010 20:00,45.4120975,38.7
1/1/2010 21:00,45.1508625,36.3
1/1/2010 22:00,45.4888525,36.9
1/1/2010 23:00,46.3995425,37.6
1/2/2010 0:00,46.6836725,38.9
1/2/2010 1:00,46.6069725,37.8
1/2/2010 2:00,45.8607625,38.2
1/2/2010 3:00,45.25091,38.7
1/2/2010 4:00,45.5178275,37.5
1/2/2010 5:00,46.28773,37.7
1/2/2010 6:00,46.516805,38.3
1/2/2010 7:00,46.971895,38.3
1/2/2010 8:00,45.9200775,37.7
1/2/2010 9:00,45.5106675,36
1/2/2010 10:00,45.682475,34.2
1/2/2010 11:00,46.6441275,33.9
1/2/2010 12:00,48.4019275,31.2
1/2/2010 13:00,48.963565,29.7
1/2/2010 14:00,48.0923675,29.8
1/2/2010 15:00,47.9500375,31.2
1/2/2010 16:00,44.59381,32.9
1/2/2010 17:00,42.81774,33.1
1/2/2010 18:00,37.8252525,32.5
1/2/2010 19:00,35.466475,34.8
1/2/2010 20:00,33.80504,38.3
1/2/2010 21:00,34.441685,33.7
1/2/2010 22:00,33.2306875,35.6
1/2/2010 23:00,32.9684975,37.7
1/3/2010 0:00,32.21704,35.5
1/3/2010 1:00,33.8180375,40.7
1/3/2010 2:00,31.1523475,40
1/3/2010 3:00,29.129925,47.3
1/3/2010 4:00,28.86797,43.8
1/3/2010 5:00,29.1686725,47.5
1/3/2010 6:00,29.4766775,47.4
1/3/2010 7:00,30.77045,43.8
1/3/2010 8:00,31.195305,48.1
1/3/2010 9:00,33.0213875,41
1/3/2010 10:00,34.1943825,38.8
1/3/2010 11:00,35.5449425,35.7
1/3/2010 12:00,36.20342,36.2
1/3/2010 13:00,36.9369275,35.1
1/3/2010 14:00,37.916695,35.3
1/3/2010 15:00,37.887975,35.9
1/3/2010 16:00,37.78552,32.2
1/3/2010 17:00,35.988045,36.2
1/3/2010 18:00,35.2090175,34.2
1/3/2010 19:00,35.9195025,38.9
1/3/2010 20:00,36.77969,35.3
1/3/2010 21:00,35.9264925,35.8
1/3/2010 22:00,34.6221425,38.6
1/3/2010 23:00,34.500575,38.2
1/4/2010 0:00,33.3414975,42.5
1/4/2010 1:00,32.9044975,39.9
1/4/2010 2:00,33.41942,40
1/4/2010 3:00,32.9716675,39.8
1/4/2010 4:00,33.2971675,40.7
1/4/2010 5:00,33.3041575,69.9
1/4/2010 6:00,33.37253,72.7
1/4/2010 7:00,33.9718525,61.9
1/4/2010 8:00,33.70382,64.8
1/4/2010 9:00,33.9878775,64.9
1/4/2010 10:00,34.47756,64.6
1/4/2010 11:00,34.999805,65.1
1/4/2010 12:00,35.459315,63.5
1/4/2010 13:00,35.33962,65.5
1/4/2010 14:00,35.301255,66.2
1/4/2010 15:00,35.88165,57.6
1/4/2010 16:00,35.8281125,54.3
1/4/2010 17:00,35.5935025,53.2
1/4/2010 18:00,35.22197,28.3
1/4/2010 19:00,34.9445625,33.1
1/4/2010 20:00,34.66528,38.7
1/4/2010 21:00,34.8499325,39.3
1/4/2010 22:00,35.36912,39
1/4/2010 23:00,35.18156,39.3
1/5/2010 0:00,35.2313475,37.4
1/5/2010 1:00,35.4257225,38.7
1/5/2010 2:00,35.0763625,40.1
1/5/2010 3:00,35.122055,37.7
1/5/2010 4:00,35.16042,41.4
1/5/2010 5:00,35.222825,65.3
1/5/2010 6:00,35.1646825,62.7
1/5/2010 7:00,35.323935,56.7
1/5/2010 8:00,34.7914525,60.5
1/5/2010 9:00,34.785315,64.8
1/5/2010 10:00,35.240215,61.7
1/5/2010 11:00,36.2508525,62.7
1/5/2010 12:00,37.418815,56.3
1/5/2010 13:00,38.6845,54.9
1/5/2010 14:00,39.5654375,55.5
1/5/2010 15:00,39.46437,52.2
1/5/2010 16:00,39.1568875,51.2
1/5/2010 17:00,39.316585,47.8
1/5/2010 18:00,38.6788475,25.7
1/5/2010 19:00,38.3018825,31.7
1/5/2010 20:00,37.8855375,33.9
1/5/2010 21:00,37.279605,32.4
1/5/2010 22:00,37.02044,34.4
1/5/2010 23:00,37.97716,35.1
1/6/2010 0:00,37.6694525,32.6
1/6/2010 1:00,37.913195,38
1/6/2010 2:00,37.82073,32.8
1/6/2010 3:00,37.394685,36
1/6/2010 4:00,36.747635,34.1
1/6/2010 5:00,36.1575225,67.7
1/6/2010 6:00,35.726325,75
1/6/2010 7:00,33.6093575,58.4
1/6/2010 8:00,33.811235,59.9
1/6/2010 9:00,35.1488275,57.6
1/6/2010 10:00,37.2952975,58.3
1/6/2010 11:00,38.861775,58.5
1/6/2010 12:00,39.36903,60.5
1/6/2010 13:00,39.85906,54.6
1/6/2010 14:00,40.26949,52.4
1/6/2010 15:00,38.77577,53.1
1/6/2010 16:00,36.4453525,51.3
1/6/2010 17:00,34.6825,55.4
1/6/2010 18:00,33.03715,26.2
1/6/2010 19:00,31.0432875,31.4
1/6/2010 20:00,30.751405,41.9
1/6/2010 21:00,29.659265,41.8
1/6/2010 22:00,29.30662,48.5
1/6/2010 23:00,29.3485825,49.6
1/7/2010 0:00,28.9518125,45.6
1/7/2010 1:00,27.859345,45.8
1/7/2010 2:00,27.5381125,47.7
1/7/2010 3:00,25.7736575,49.1
1/7/2010 4:00,25.3263925,50.6
1/7/2010 5:00,24.668265,87.5
1/7/2010 6:00,22.8361625,100.3
1/7/2010 7:00,23.7244875,84
1/7/2010 8:00,25.25771,79.6
1/7/2010 9:00,27.31677,70.5
1/7/2010 10:00,28.9604725,71.6
1/7/2010 11:00,30.474425,68.4
1/7/2010 12:00,31.099245,63.4
1/7/2010 13:00,31.67759,65.7
1/7/2010 14:00,31.74119,62.8
1/7/2010 15:00,31.96489,60.2
1/7/2010 16:00,31.8399075,62.2
1/7/2010 17:00,31.8441725,59.8
1/7/2010 18:00,31.655595,30.4
1/7/2010 19:00,31.404615,40.7
1/7/2010 20:00,31.1282325,42.2
1/7/2010 21:00,31.1048725,42.4
1/7/2010 22:00,30.179475,46.5
1/7/2010 23:00,28.9502075,47
1/8/2010 0:00,29.167855,44.1
1/8/2010 1:00,30.165445,41.7
1/8/2010 2:00,30.2642925,42.3
1/8/2010 3:00,30.6336,44.5
1/8/2010 4:00,30.641955,44
1/8/2010 5:00,30.99558,73.6
1/8/2010 6:00,30.66804,77.8
1/8/2010 7:00,29.2480375,64
1/8/2010 8:00,28.6021525,65.1
1/8/2010 9:00,31.1311175,60.3
1/8/2010 10:00,33.22593,62.8
1/8/2010 11:00,34.2445075,60.6
1/8/2010 12:00,35.096235,58.7
1/8/2010 13:00,35.7275975,56
1/8/2010 14:00,36.24083,55.8
1/8/2010 15:00,35.7237075,55
1/8/2010 16:00,34.847715,55.9
1/8/2010 17:00,34.09751,53.3
1/8/2010 18:00,33.7645175,24.2
1/8/2010 19:00,34.387195,34
1/8/2010 20:00,34.381735,39.6
1/8/2010 21:00,34.001685,37.2
1/8/2010 22:00,33.756845,39.4
1/8/2010 23:00,33.1300775,39.8
1/9/2010 0:00,32.7486575,39.6
1/9/2010 1:00,32.1548025,41.5
1/9/2010 2:00,32.502965,42
1/9/2010 3:00,32.9307525,37.8
1/9/2010 4:00,32.81243,40.8
1/9/2010 5:00,32.4571025,43.6
1/9/2010 6:00,32.4552225,40.5
1/9/2010 7:00,32.421125,43.8
1/9/2010 8:00,32.3687775,41.2
1/9/2010 9:00,32.8149825,39
1/9/2010 10:00,33.87296,40.2
1/9/2010 11:00,35.0172,37.6
1/9/2010 12:00,35.9518425,35.6
1/9/2010 13:00,36.4537325,35.5
1/9/2010 14:00,36.4944275,35.7
1/9/2010 15:00,36.5806925,34.7
1/9/2010 16:00,36.3421825,37
1/9/2010 17:00,35.743545,38.1
1/9/2010 18:00,35.69086,35.7
1/9/2010 19:00,34.952065,38.1
1/9/2010 20:00,33.7866825,38.5
1/9/2010 21:00,34.44175,38.8
1/9/2010 22:00,34.76707,41.9
1/9/2010 23:00,34.05744,38.9
1/10/2010 0:00,33.403565,42.2
1/10/2010 1:00,33.3351925,38.9
1/10/2010 2:00,33.9696325,37.9
1/10/2010 3:00,34.25198,42.6
1/10/2010 4:00,34.397255,40.5
1/10/2010 5:00,34.513875,37.6
1/10/2010 6:00,34.06017,40.5
1/10/2010 7:00,34.7275175,41.4
1/10/2010 8:00,34.9505325,38.6
1/10/2010 9:00,34.9152375,40.8
1/10/2010 10:00,35.3328,37.6
1/10/2010 11:00,36.7736625,36.8
1/10/2010 12:00,37.58311,34.2
1/10/2010 13:00,37.6567975,33.8
1/10/2010 14:00,37.381205,36.9
1/10/2010 15:00,36.649245,34.6
1/10/2010 16:00,36.6672075,35
1/10/2010 17:00,36.6075225,40.1
1/10/2010 18:00,35.9905975,35.6
1/10/2010 19:00,35.7998075,39.6
1/10/2010 20:00,35.33911,38.7
1/10/2010 21:00,35.33723,36.3
1/10/2010 22:00,35.541155,38.3
1/10/2010 23:00,34.9363775,40.2
1/11/2010 0:00,34.299725,38.7
1/11/2010 1:00,33.99333,42.9
1/11/2010 2:00,34.0608475,38.3
1/11/2010 3:00,33.8282825,43.3
1/11/2010 4:00,33.79896,41.9
1/11/2010 5:00,33.845165,68.9
1/11/2010 6:00,33.770825,65.9
1/11/2010 7:00,33.6144775,59.9
1/11/2010 8:00,33.6770525,62.8
1/11/2010 9:00,34.028965,66.1
1/11/2010 10:00,35.29205,59.7
1/11/2010 11:00,36.986725,61.3
1/11/2010 12:00,37.63384,58
1/11/2010 13:00,38.3490575,55.7
1/11/2010 14:00,39.4224875,57.3
1/11/2010 15:00,39.8916125,54.6
1/11/2010 16:00,39.33324,52.8
1/11/2010 17:00,39.1025825,48.2
1/11/2010 18:00,37.9115075,26.9
1/11/2010 19:00,36.85426,29.8
1/11/2010 20:00,36.60339,33.1
1/11/2010 21:00,36.2066275,33.6
1/11/2010 22:00,35.341325,36.9
1/11/2010 23:00,34.49887,39.3
1/12/2010 0:00,34.13979,35.9
1/12/2010 1:00,33.09427,37.2
1/12/2010 2:00,34.05778,35.5
1/12/2010 3:00,34.3955475,38
1/12/2010 4:00,33.4139625,40.4
1/12/2010 5:00,33.6081675,66.1
1/12/2010 6:00,34.72581,67.8
1/12/2010 7:00,35.7445675,57
1/12/2010 8:00,36.45164,60.7
1/12/2010 9:00,36.508935,60.2
1/12/2010 10:00,39.0924025,60.7
1/12/2010 11:00,40.8033975,57.9
1/12/2010 12:00,43.917865,53
1/12/2010 13:00,46.0022325,52.2
1/12/2010 14:00,45.2137975,50.7
1/12/2010 15:00,45.55069,48
1/12/2010 16:00,44.27559,47.7
1/12/2010 17:00,42.2663875,47.4
1/12/2010 18:00,38.80176,24.1
1/12/2010 19:00,36.04277,25.1
1/12/2010 20:00,37.42743,33
1/12/2010 21:00,36.546445,31.4
1/12/2010 22:00,36.53229,34.9
1/12/2010 23:00,35.771845,34.5
1/13/2010 0:00,35.8112325,34.2
1/13/2010 1:00,35.9258125,34.1
1/13/2010 2:00,36.1781525,32.5
1/13/2010 3:00,36.514385,36.4
1/13/2010 4:00,36.8821625,32.4
1/13/2010 5:00,38.1925825,62.7
1/13/2010 6:00,38.395925,57.9
1/13/2010 7:00,38.432565,57.2
1/13/2010 8:00,38.62221,55.5
1/13/2010 9:00,39.3910875,60.1
1/13/2010 10:00,40.3449375,57.4
1/13/2010 11:00,40.8330925,55.6
1/13/2010 12:00,42.116775,54.9
1/13/2010 13:00,43.407895,58.3
1/13/2010 14:00,44.987235,53.5
1/13/2010 15:00,44.747415,49.3
1/13/2010 16:00,44.0453575,48
1/13/2010 17:00,43.6696975,45.1
1/13/2010 18:00,47.1784775,24.3
1/13/2010 19:00,49.494175,26
1/13/2010 20:00,49.68918,31.1
1/13/2010 21:00,49.220595,33.5
1/13/2010 22:00,48.6991125,35.3
1/13/2010 23:00,49.02572,34.1
