Date,OAT,Building 7 kW
1/1/2011 0:00,17.0354975,47.9
1/1/2011 1:00,15.704895,62.5
1/1/2011 2:00,14.573305,61.4
1/1/2011 3:00,13.7165025,61.7
1/1/2011 4:00,13.720835,69.5
1/1/2011 5:00,13.8608375,59.5
1/1/2011 6:00,15.11172,65.4
1/1/2011 7:00,13.931665,59.3
1/1/2011 8:00,14.4130725,52.3
1/1/2011 9:00,17.7456225,48.5
1/1/2011 10:00,20.3542975,44.3
1/1/2011 11:00,22.22969,40
1/1/2011 12:00,23.5042,38.8
1/1/2011 13:00,24.885065,34.4
1/1/2011 14:00,25.2112625,33.8
1/1/2011 15:00,24.860305,33.4
1/1/2011 16:00,23.32489,39.3
1/1/2011 17:00,21.6017175,40.6
1/1/2011 18:00,20.386615,45.9
1/1/2011 19:00,18.7351075,45.8
1/1/2011 20:00,17.5099425,49.1
1/1/2011 21:00,17.11725,50.4
1/1/2011 22:00,15.699435,47.7
1/1/2011 23:00,16.70404,51.6
1/2/2011 0:00,17.20396,49.5
1/2/2011 1:00,17.2904525,54.4
1/2/2011 2:00,17.6528125,53.2
1/2/2011 3:00,17.2810975,48.9
1/2/2011 4:00,16.4153,53.5
1/2/2011 5:00,15.181255,49.9
1/2/2011 6:00,15.8842775,53.1
1/2/2011 7:00,17.837925,50.6
1/2/2011 8:00,18.0684625,50.6
1/2/2011 9:00,21.07648,46.3
1/2/2011 10:00,23.0714125,38.5
1/2/2011 11:00,24.50763,36.6
1/2/2011 12:00,25.8768625,33.6
1/2/2011 13:00,27.186925,34.2
1/2/2011 14:00,28.115895,28.8
1/2/2011 15:00,28.0810175,31.2
1/2/2011 16:00,26.3788925,32.8
1/2/2011 17:00,24.38389,34.3
1/2/2011 18:00,22.7457675,35.9
1/2/2011 19:00,21.2617375,40.6
1/2/2011 20:00,19.087735,42.9
1/2/2011 21:00,18.53335,47.8
1/2/2011 22:00,16.325135,46.4
1/2/2011 23:00,16.3485225,50.1
1/3/2011 0:00,17.064855,52.2
1/3/2011 1:00,16.29254,51.4
1/3/2011 2:00,16.23997,54
1/3/2011 3:00,16.1660675,54.4
1/3/2011 4:00,15.150705,56.7
1/3/2011 5:00,14.8568,103.5
1/3/2011 6:00,14.7107,94.9
1/3/2011 7:00,12.596915,94.2
1/3/2011 8:00,12.9853325,94.2
1/3/2011 9:00,16.679875,85.9
1/3/2011 10:00,20.20707,80.2
1/3/2011 11:00,23.5309625,72.4
1/3/2011 12:00,24.03311,66.9
1/3/2011 13:00,24.879605,62.5
1/3/2011 14:00,25.9383025,63.6
1/3/2011 15:00,25.7045675,59.9
1/3/2011 16:00,24.5894725,58.9
1/3/2011 17:00,23.274975,52
1/3/2011 18:00,22.18955,33.8
1/3/2011 19:00,20.6305,38.9
1/3/2011 20:00,19.59582,41.6
1/3/2011 21:00,18.744705,41
1/3/2011 22:00,18.0520225,51.7
1/3/2011 23:00,16.4624975,46.9
1/4/2011 0:00,17.4233475,55.8
1/4/2011 1:00,17.3910325,47
1/4/2011 2:00,16.76793,55.9
1/4/2011 3:00,17.8095025,50
1/4/2011 4:00,17.5013225,53.1
1/4/2011 5:00,17.56785,92.5
1/4/2011 6:00,17.31865,83.7
1/4/2011 7:00,16.2948925,91.4
1/4/2011 8:00,16.2280075,92.7
1/4/2011 9:00,18.8807675,79.1
1/4/2011 10:00,21.8207825,84.7
1/4/2011 11:00,22.2959625,77.3
1/4/2011 12:00,23.9331075,71.1
1/4/2011 13:00,25.858455,70.9
1/4/2011 14:00,26.46713,59.6
1/4/2011 15:00,26.3578125,65
1/4/2011 16:00,24.0527275,64.3
1/4/2011 17:00,22.6419225,57.7
1/4/2011 18:00,23.0995525,35.6
1/4/2011 19:00,23.2237375,42.4
1/4/2011 20:00,23.5187775,41.9
1/4/2011 21:00,23.703635,43.9
1/4/2011 22:00,24.0656075,40
1/4/2011 23:00,24.403505,40.7
1/5/2011 0:00,25.058995,45
1/5/2011 1:00,25.96609,43.2
1/5/2011 2:00,26.2853675,44.6
1/5/2011 3:00,25.174845,40.7
1/5/2011 4:00,25.1340825,43
1/5/2011 5:00,25.3304025,74.4
1/5/2011 6:00,25.56151,63.3
1/5/2011 7:00,25.9855225,71.7
1/5/2011 8:00,26.274455,70
1/5/2011 9:00,27.5129,66.2
1/5/2011 10:00,28.9462375,63.7
1/5/2011 11:00,30.24324,69.4
1/5/2011 12:00,30.6760475,65.5
1/5/2011 13:00,31.09345,64.7
1/5/2011 14:00,31.6474125,59.7
1/5/2011 15:00,31.962845,55.9
1/5/2011 16:00,31.9977575,57.5
1/5/2011 17:00,31.99186,53.6
1/5/2011 18:00,32.0879825,26.2
1/5/2011 19:00,31.3205375,37.9
