Date,OAT,Building 7 kW
1/2/2009 0:00,41.6,35.8
1/2/2009 1:00,40.9,37
1/2/2009 2:00,39.5,37.7
1/2/2009 3:00,36.3,42.8
1/2/2009 4:00,32.8,50.7
1/2/2009 5:00,32.5,50.7
1/2/2009 6:00,32.7,53.1
1/2/2009 7:00,32.7,55.4
1/2/2009 8:00,34,55.1
1/2/2009 9:00,34.7,48.7
1/2/2009 10:00,35.5,53.6
1/2/2009 11:00,36.6,55.6
1/2/2009 12:00,36.3,51
1/2/2009 13:00,38.6,48.1
1/2/2009 14:00,39.9,46.7
1/2/2009 15:00,39.9,46.8
1/2/2009 16:00,35.5,48.9
1/2/2009 17:00,30.5,52.3
1/2/2009 18:00,28.8,51.8
1/2/2009 19:00,28.6,55.8
1/2/2009 20:00,28,56.1
1/2/2009 21:00,24.1,59.3
1/2/2009 22:00,21.1,49.7
1/2/2009 23:00,19.9,54.5
1/3/2009 0:00,19.6,55.1
1/3/2009 1:00,18.8,58.8
1/3/2009 2:00,19,58.6
1/3/2009 3:00,19,58.9
1/3/2009 4:00,18.9,64.1
1/3/2009 5:00,17.9,66.9
1/3/2009 6:00,17.8,76
1/3/2009 7:00,16.3,77.9
1/3/2009 8:00,17.4,72.1
1/3/2009 9:00,19.7,63.4
1/3/2009 10:00,20.8,61.5
1/3/2009 11:00,22.2,56.2
1/3/2009 12:00,23.1,55.9
1/3/2009 13:00,24,55.9
1/3/2009 14:00,24.2,52.9
1/3/2009 15:00,23.3,55.2
1/3/2009 16:00,21.1,58.8
1/3/2009 17:00,18.2,50.4
1/3/2009 18:00,15.9,58.9
1/3/2009 19:00,14.8,61.8
1/3/2009 20:00,13.9,62.3
1/3/2009 21:00,14.1,64
1/3/2009 22:00,16.4,57.4
1/3/2009 23:00,17.4,62.5
1/4/2009 0:00,16.6,61
1/4/2009 1:00,17.6,64
1/4/2009 2:00,18.1,65.6
1/4/2009 3:00,17.4,62.7
1/4/2009 4:00,17.6,71.4
1/4/2009 5:00,16.2,76.2
1/4/2009 6:00,14.5,92.3
1/4/2009 7:00,13.1,90.1
1/4/2009 8:00,14.4,84.7
1/4/2009 9:00,15.1,80.1
1/4/2009 10:00,16.3,75.1
1/4/2009 11:00,17.4,70.7
1/4/2009 12:00,18,67.2
1/4/2009 13:00,18.6,67.5
1/4/2009 14:00,18.9,67.8
1/4/2009 15:00,19.2,68.5
1/4/2009 16:00,19.2,68.9
1/4/2009 17:00,19.2,55.8
1/4/2009 18:00,19.2,60
1/4/2009 19:00,19.2,65
1/4/2009 20:00,19.6,63.9
1/4/2009 21:00,19.8,63.7
1/4/2009 22:00,19.9,57.5
1/4/2009 23:00,19.7,66.1
1/5/2009 0:00,19.3,74.6
1/5/2009 1:00,19.4,67.9
1/5/2009 2:00,19.5,65.4
1/5/2009 3:00,19.8,66.6
1/5/2009 4:00,20.1,83.8
1/5/2009 5:00,20.2,74.6
1/5/2009 6:00,20.5,80.1
1/5/2009 7:00,19.9,79.8
1/5/2009 8:00,20.5,77.2
1/5/2009 9:00,22.2,75.9
1/5/2009 10:00,24.9,75.5
1/5/2009 11:00,24.9,70.7
1/5/2009 12:00,26,70.5
1/5/2009 13:00,27.7,66
1/5/2009 14:00,26.6,67.4
1/5/2009 15:00,26.6,69.7
1/5/2009 16:00,26.4,63.7
1/5/2009 17:00,25.4,58.3
1/5/2009 18:00,26.2,66.3
1/5/2009 19:00,26,62.5
1/5/2009 20:00,25.6,64.8
1/5/2009 21:00,24.9,63.8
1/5/2009 22:00,25,57.4
1/5/2009 23:00,25.1,60.2
1/6/2009 0:00,27.7,56.6
1/6/2009 1:00,30.2,60.3
1/6/2009 2:00,30.3,54.2
1/6/2009 3:00,37.1,51.5
1/6/2009 4:00,41.4,52.9
1/6/2009 5:00,41.3,49.8
1/6/2009 6:00,42.2,51.3
1/6/2009 7:00,41.4,57.1
1/6/2009 8:00,42.2,61.5
1/6/2009 9:00,42.3,63.7
1/6/2009 10:00,42.9,61.3
1/6/2009 11:00,45.1,56.5
1/6/2009 12:00,47.5,54.5
