Timestamp,Power (kW)
4/14/2010 0:00,197.8
4/14/2010 0:15,186.4
4/14/2010 0:30,188.3
4/14/2010 0:45,189.3
4/14/2010 1:00,187.4
4/14/2010 1:15,189
4/14/2010 1:30,180.4
4/14/2010 1:45,170.7
4/14/2010 2:00,182.2
4/14/2010 2:15,182.4
4/14/2010 2:30,187.7
4/14/2010 2:45,185.2
4/14/2010 3:00,191.9
4/14/2010 3:15,183.5
4/14/2010 3:30,176
4/14/2010 3:45,185.5
4/14/2010 4:00,191.1
4/14/2010 4:15,191.9
4/14/2010 4:30,187.3
4/14/2010 4:45,182.6
4/14/2010 5:00,190
4/14/2010 5:15,190.5
4/14/2010 5:30,187.3
4/14/2010 5:45,193.5
4/14/2010 6:00,191.1
4/14/2010 6:15,199.3
4/14/2010 6:30,197.4
4/14/2010 6:45,199.4
4/14/2010 7:00,228.2
4/14/2010 7:15,292.9
4/14/2010 7:30,291
4/14/2010 7:45,278.4
4/14/2010 8:00,287.2
4/14/2010 8:15,298.6
4/14/2010 8:30,290.3
4/14/2010 8:45,283.3
4/14/2010 9:00,291.4
4/14/2010 9:15,286.9
4/14/2010 9:30,292.1
4/14/2010 9:45,294
4/14/2010 10:00,293.3
4/14/2010 10:15,288
4/14/2010 10:30,290.8
4/14/2010 10:45,287.5
4/14/2010 11:00,290.7
4/14/2010 11:15,290
4/14/2010 11:30,292.1
4/14/2010 11:45,293
4/14/2010 12:00,290.6
4/14/2010 12:15,285.3
4/14/2010 12:30,295
4/14/2010 12:45,290.7
4/14/2010 13:00,288.4
4/14/2010 13:15,300.8
4/14/2010 13:30,298.3
4/14/2010 13:45,298.7
4/14/2010 14:00,302.7
4/14/2010 14:15,300.3
4/14/2010 14:30,295
4/14/2010 14:45,292.9
4/14/2010 15:00,292.1
4/14/2010 15:15,295.8
4/14/2010 15:30,294
4/14/2010 15:45,299.8
4/14/2010 16:00,298.6
4/14/2010 16:15,291.4
4/14/2010 16:30,292.4
4/14/2010 16:45,287.3
4/14/2010 17:00,284.4
4/14/2010 17:15,281.1
4/14/2010 17:30,291.3
4/14/2010 17:45,286.1
4/14/2010 18:00,271.8
4/14/2010 18:15,286
4/14/2010 18:30,279.9
4/14/2010 18:45,281
4/14/2010 19:00,286.4
4/14/2010 19:15,288.2
4/14/2010 19:30,291
4/14/2010 19:45,325.6
4/14/2010 20:00,335.5
4/14/2010 20:15,343
4/14/2010 20:30,336
4/14/2010 20:45,333.5
4/14/2010 21:00,332.7
4/14/2010 21:15,331.7
4/14/2010 21:30,340.5
4/14/2010 21:45,326.7
4/14/2010 22:00,324.6
4/14/2010 22:15,305.9
4/14/2010 22:30,306.2
4/14/2010 22:45,315.6
4/14/2010 23:00,308.9
4/14/2010 23:15,223.6
4/14/2010 23:30,228.1
