Timestamp,Power (kW)
3/1/2010 0:00,157.7
3/1/2010 0:15,165.3
3/1/2010 0:30,158.7
3/1/2010 0:45,165
3/1/2010 1:00,166.2
3/1/2010 1:15,163.2
3/1/2010 1:30,156
3/1/2010 1:45,164.7
3/1/2010 2:00,172.8
3/1/2010 2:15,171.3
3/1/2010 2:30,173.7
3/1/2010 2:45,179.6
3/1/2010 3:00,178.9
3/1/2010 3:15,170.8
3/1/2010 3:30,171.5
3/1/2010 3:45,166.1
3/1/2010 4:00,162.5
3/1/2010 4:15,168.2
3/1/2010 4:30,178.5
3/1/2010 4:45,172.1
3/1/2010 5:00,172.3
3/1/2010 5:15,172.9
3/1/2010 5:30,179.2
3/1/2010 5:45,186.3
3/1/2010 6:00,188.5
3/1/2010 6:15,177.4
3/1/2010 6:30,181.4
3/1/2010 6:45,174.9
3/1/2010 7:00,161.7
3/1/2010 7:15,164.9
3/1/2010 7:30,193.5
3/1/2010 7:45,180.2
3/1/2010 8:00,181.5
3/1/2010 8:15,260.5
3/1/2010 8:30,257.7
3/1/2010 8:45,247.8
3/1/2010 9:00,248.7
3/1/2010 9:15,250.9
3/1/2010 9:30,249.2
3/1/2010 9:45,251.3
3/1/2010 10:00,253.1
3/1/2010 10:15,253.1
3/1/2010 10:30,254.9
3/1/2010 10:45,263.3
3/1/2010 11:00,257.4
3/1/2010 11:15,254.5
3/1/2010 11:30,257.6
3/1/2010 11:45,255.4
3/1/2010 12:00,253.7
3/1/2010 12:15,256
3/1/2010 12:30,259.7
3/1/2010 12:45,254
3/1/2010 13:00,254.6
3/1/2010 13:15,254.7
3/1/2010 13:30,257.5
3/1/2010 13:45,257.6
3/1/2010 14:00,251.3
3/1/2010 14:15,257.3
3/1/2010 14:30,255.8
3/1/2010 14:45,258
3/1/2010 15:00,253.9
3/1/2010 15:15,252.4
3/1/2010 15:30,257
3/1/2010 15:45,257.5
3/1/2010 16:00,253.2
3/1/2010 16:15,255.8
3/1/2010 16:30,257
3/1/2010 16:45,256.4
3/1/2010 17:00,244.1
3/1/2010 17:15,246.4
3/1/2010 17:30,244.8
3/1/2010 17:45,236.3
3/1/2010 18:00,256
3/1/2010 18:15,291.7
3/1/2010 18:30,288.1
3/1/2010 18:45,288.4
3/1/2010 19:00,281.3
3/1/2010 19:15,286.7
3/1/2010 19:30,287.4
3/1/2010 19:45,281.9
3/1/2010 20:00,286.1
3/1/2010 20:15,282.8
3/1/2010 20:30,281.7
3/1/2010 20:45,281.8
3/1/2010 21:00,280.9
3/1/2010 21:15,283.1
3/1/2010 21:30,281.4
3/1/2010 21:45,276.8
3/1/2010 22:00,277.8
3/1/2010 22:15,276.1
3/1/2010 22:30,279.5
3/1/2010 22:45,278.7
3/1/2010 23:00,281.3
3/1/2010 23:15,201.4
3/1/2010 23:30,191.4
3/1/2010 23:45,157.5
